STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
ROCKAWAY PARK B,AS,1142.0,476.0,626.0,649.0
ROOSEVELT ISLND,F,1348.0,717.0,15003.0,15369.0
SARATOGA AV,3,5287.0,666.0,8256.0,15370.0
SENECA AVE,M,3996.0,582.0,2286.0,2481.0
SHEEPSHEAD BAY,BQ,21155.0,3562.0,11742.0,12117.0
SHEPHERD AV,C,5790.0,555.0,2772.0,1592.0
SIMPSON ST,25,9073.0,1334.0,10071.0,4653.0
SMITH-9 ST,FG,1177.0,2112.0,12744.0,13141.0
SOUTH FERRY,1RW,11954.0,3342.0,15436.0,8889.0
SPRING ST,6,737.0,1787.0,30649.0,31863.0
SPRING ST,CE,577.0,482.0,49107.0,5621.0
ST LAWRENCE AV,6,4173.0,611.0,6468.0,9430.0
ST. GEORGE,1,6946.0,0.0,33464.0,0.0
STEINWAY ST,MR,4818.0,1927.0,31978.0,27871.0
STERLING ST,25,2654.0,325.0,12133.0,9391.0
SUTPHIN BLVD,F,6212.0,1035.0,4659.0,2758.0
SUTPHIN-ARCHER,EJZ,16389.0,6716.0,47637.0,54453.0
SUTTER AV,L,5518.0,904.0,3691.0,2244.0
SUTTER AV-RUTLD,3,5413.0,1071.0,12125.0,20400.0
THIRTY THIRD ST,1,148.0,442.0,,
TIMES SQ-42 ST,1237ACENQRS,1795.0,2348.0,44805.0,17335.0
TIMES SQ-42 ST,1237ACENQRSW,11608.0,16353.0,188082.0,139578.0
TIMES SQ-42 ST,ACENQRS1237W,2493.0,3717.0,54200.0,44912.0
TOMPKINSVILLE,1,876.0,0.0,1191.0,0.0
TREMONT AV,BD,18427.0,3098.0,11129.0,6203.0
UNION ST,R,1298.0,1320.0,14808.0,14032.0
UTICA AV,AC,16992.0,4222.0,14769.0,11402.0
V.CORTLANDT PK,1,7117.0,566.0,15634.0,8125.0
VAN SICLEN AV,3,2674.0,333.0,4441.0,8522.0
VAN SICLEN AV,JZ,4576.0,786.0,2368.0,3163.0
VAN SICLEN AVE,C,5159.0,894.0,3193.0,3155.0
VERNON-JACKSON,7,3308.0,2501.0,27883.0,25823.0
W 4 ST-WASH SQ,ABCDEFM,10732.0,20205.0,38335.0,38425.0
